43	82	21
96	79	29
89	44	50
18	45	64
10	100	49
15	84	94
100	81	33
74	36	93
81	8	43
54	98	46
83	75	35
84	36	71
41	72	74
80	94	69
27	22	97
15	79	41
35	20	96
87	96	47
27	63	98
34	18	23
8	79	29
76	72	64
95	81	72
94	29	72
86	20	91
6	6	30
64	32	87
75	80	4
91	37	17
68	69	57
34	5	14
8	91	52
3	57	31
36	56	95
77	14	48
48	36	41
65	77	24
77	15	23
39	8	79
65	15	96
82	38	14
24	6	53
9	1	71
48	20	97
81	56	76
85	85	39
20	8	53
64	44	81
34	90	32
90	66	33
43	49	18
89	39	8
40	81	42
97	79	25
56	43	98
18	29	16
72	19	12
11	2	91
76	52	57
85	47	71
37	18	78
61	25	19
90	65	67
54	65	8
82	95	16
61	65	38
30	83	14
87	16	37
89	79	69
42	9	47
57	89	44
33	22	25
88	93	81
25	39	59
21	76	58
22	2	3
2	90	26
40	4	25
40	84	34
61	44	67
8	44	29
88	66	82
3	65	14
83	67	1
4	41	25
96	75	92
27	56	57
30	20	48
85	61	22
93	88	38
73	66	13
63	92	4
19	100	99
29	44	17
57	93	73
22	39	28
13	80	95
21	67	60
96	88	88
51	92	73
51	46	29
57	65	10
5	11	24
67	77	39
25	30	21
16	8	98
9	79	76
78	46	8
14	87	94
100	90	82
91	2	17
9	96	64
84	81	43
1	44	21
8	48	87
36	77	94
30	17	33
48	81	7
88	64	96
1	74	11
66	52	93
30	100	79
62	12	18
4	51	92
87	31	88
81	42	70
61	29	10
78	66	55
8	10	68
26	4	18
89	4	13
35	18	15
93	50	90
62	54	86
68	75	81
55	97	44
3	36	61
65	92	24
62	16	80
95	4	11
10	18	22
13	91	2
67	44	77
40	92	25
82	44	11
41	57	61
95	74	62
77	26	13
79	27	85
96	17	16
61	54	89
34	42	37
32	45	86
79	56	65
74	39	9
46	2	25
70	49	18
24	17	83
34	35	89
67	33	7
4	98	60
34	99	87
50	66	29
4	62	72
32	93	75
54	46	39
32	81	47
19	87	42
37	26	49
39	58	27
97	53	62
91	20	44
35	20	92
84	7	12
81	79	76
81	56	29
60	10	16
19	12	1
17	12	64
7	30	43
90	61	100
79	42	98
51	27	13
63	12	24
46	63	90
78	6	97
62	3	21
44	6	52
42	36	47
80	88	86
53	72	24
7	80	25
94	95	59
43	72	40
97	92	64
85	78	52
61	31	52
13	15	73
83	47	1
44	36	82
27	26	23
6	86	30
57	28	95
98	72	20
64	71	42
50	22	11
33	49	54
30	58	63
59	23	59
23	69	31
70	42	16
67	68	77
67	66	62
28	70	88
30	63	81
1	69	3
3	12	34
38	57	98
22	39	55
45	86	43
100	52	41
24	45	23
17	77	25
52	44	72
59	91	25
3	41	2
80	28	54
47	16	53
90	93	77
23	42	89
40	9	92
74	78	81
66	28	18
54	93	65
62	54	16
46	19	91
100	44	7
